side,ref,value,footprint,lcsc,role,pop
R,C181,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C182,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C191,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C192,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C201,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C202,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C21,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C211,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C212,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C22,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C221,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C222,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C231,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C232,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C241,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C242,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C251,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C252,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C261,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C262,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C271,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C272,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C281,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C282,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C291,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C292,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C31,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C32,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C41,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C42,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C51,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C52,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C61,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C62,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C71,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C72,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C81,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C82,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C91,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C92,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,G***,LOGO,tinyfirelucca,,silkscreen,skip
R,H1,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H10,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H11,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H12,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H13,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H14,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H15,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H16,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H17,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H18,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
R,H19,DRV5053VAQDBZR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C962159,HE sensor,populated
